horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2020-02-19,78.058624,69.18396,88.07169,-2.1208465,0.061577078
d0002,2,2020-02-20,77.93034,70.69642,85.90449,-2.2817016,0.04970438
d0003,3,2020-02-21,81.47813,74.298836,89.35113,2.1669269,0.047060844
d0004,4,2020-02-24,82.32003,74.28579,91.223206,3.2226086,0.052395314
d0005,5,2020-02-25,82.96487,72.79201,94.55942,4.0311813,0.066740364
d0006,6,2020-02-26,81.3721,74.22951,89.20199,2.0339847,0.04687286
d0007,7,2020-02-27,80.813995,72.840294,89.66057,1.3341665,0.053000435
d0008,8,2020-02-28,78.686584,70.99388,87.212875,-1.3334334,0.052489374
d0009,9,2020-03-02,82.52129,73.82849,92.2376,3.4749746,0.05679163
d0010,10,2020-03-03,80.900826,74.28093,88.110695,1.4430404,0.043556046
d0011,11,2020-03-04,83.94102,74.698364,94.327286,5.2551985,0.059518456
d0012,12,2020-03-05,81.41235,73.096596,90.67415,2.0844579,0.054972086
d0013,13,2020-03-06,81.47313,71.836914,92.40196,2.1606684,0.06422186
d0014,14,2020-03-09,80.42922,70.879944,91.26504,0.85169077,0.06448477
d0015,15,2020-03-10,82.852905,70.53866,97.31692,3.8907886,0.082094856
d0016,16,2020-03-11,84.99491,75.5923,95.567085,6.576693,0.0598148
d0017,17,2020-03-12,80.735306,70.80945,92.05255,1.235497,0.06693042
d0018,18,2020-03-13,84.074615,73.440285,96.24883,5.4227114,0.06899593
d0019,19,2020-03-16,85.03575,75.29168,96.04088,6.6279054,0.06209291
d0020,20,2020-03-17,83.84229,74.26122,94.65948,5.1313996,0.061912544
d0021,21,2020-03-18,82.00496,70.69251,95.12765,2.827537,0.0757347
d0022,22,2020-03-19,81.70537,72.553444,92.01171,2.4518728,0.060610306
d0023,23,2020-03-20,81.535614,72.95211,91.12903,2.2390127,0.056753375
d0024,24,2020-03-23,81.73,72.42595,92.22928,2.48276,0.06166146
d0025,25,2020-03-24,82.53123,73.315605,92.90523,3.487432,0.060409818
d0026,26,2020-03-25,84.0234,73.35493,96.24346,5.3584933,0.0692784
d0027,27,2020-03-26,82.44087,75.32171,90.2329,3.3741355,0.046078015
d0028,28,2020-03-27,87.121414,77.08422,98.46556,9.243155,0.062451094
d0029,29,2020-03-30,83.2008,74.12022,93.39387,4.327023,0.0589636
d0030,30,2020-03-31,84.44861,74.28091,96.008064,5.891669,0.06545362
d0031,31,2020-04-01,82.284134,74.53425,90.839836,3.1775951,0.050469186
d0032,32,2020-04-02,86.040565,74.504166,99.36328,7.887852,0.07345093
d0033,33,2020-04-03,81.62343,72.30876,92.138,2.3491263,0.06182195
d0034,34,2020-04-06,85.62942,75.564514,97.03492,7.372308,0.063797
d0035,35,2020-04-07,80.96185,69.54953,94.246796,1.5195608,0.0775198
d0036,36,2020-04-08,84.47431,76.37437,93.43331,5.923903,0.05142876
d0037,37,2020-04-09,83.41696,72.56455,95.89242,4.598069,0.07110977
d0038,38,2020-04-10,82.63222,72.914505,93.64509,3.614068,0.06383276
d0039,39,2020-04-13,84.7367,74.054825,96.959366,6.2529206,0.0687465
d0040,40,2020-04-14,83.97214,71.55216,98.54793,5.2942157,0.081662305
d0041,41,2020-04-15,82.24301,71.61326,94.45056,3.1260371,0.0706113
d0042,42,2020-04-16,80.48723,70.67108,91.66682,0.92442036,0.06635814
d0043,43,2020-04-17,83.9816,73.61749,95.80478,5.306077,0.06720154
d0044,44,2020-04-20,81.01103,70.56675,93.00113,1.5812278,0.07042158
d0045,45,2020-04-21,80.91014,69.948616,93.58942,1.4547229,0.074274555
d0046,46,2020-04-22,84.47553,72.995316,97.76125,5.925429,0.07452371
d0047,47,2020-04-23,83.38761,70.92664,98.03783,4.5612693,0.082578376
d0048,48,2020-04-24,85.68235,76.377525,96.12074,7.4386835,0.058652177
d0049,49,2020-04-27,82.81846,71.72371,95.62943,3.847599,0.07338247
d0050,50,2020-04-28,84.29642,74.96845,94.784996,5.7008386,0.059832625
d0051,51,2020-04-29,85.99848,74.03976,99.888756,7.83509,0.07639155
d0052,52,2020-04-30,83.32123,70.66337,98.246475,4.4780254,0.084069386
d0053,53,2020-05-01,81.98209,73.56341,91.36424,2.7988672,0.05528226
d0054,54,2020-05-04,85.82981,75.56727,97.486084,7.623589,0.06497102
d0055,55,2020-05-05,82.41318,72.27806,93.96948,3.3394098,0.066951424
d0056,56,2020-05-06,84.91584,76.77618,93.91846,6.4775467,0.051411357
d0057,57,2020-05-07,84.51842,73.68432,96.945496,5.979204,0.06998954
d0058,58,2020-05-08,83.310295,72.46641,95.77687,4.4643164,0.07114746
d0059,59,2020-05-11,83.196144,73.69067,93.92774,4.321182,0.06190041
d0060,60,2020-05-12,85.86055,75.308395,97.89126,7.6621294,0.06690448
d0061,61,2020-05-13,83.92962,74.267456,94.84884,5.2409053,0.062400892
d0062,62,2020-05-14,84.1949,74.556274,95.07961,5.573547,0.06203066
d0063,63,2020-05-15,82.916695,73.55546,93.469315,3.970778,0.061120793
d0064,64,2020-05-18,81.68256,72.2289,92.37355,2.4232745,0.062755235
d0065,65,2020-05-19,86.19973,76.85298,96.68319,8.087433,0.058557473
d0066,66,2020-05-20,84.83311,72.9457,98.65771,6.373799,0.07702575
d0067,67,2020-05-21,85.53612,75.74987,96.58668,7.255316,0.061990853
d0068,68,2020-05-22,83.45737,71.670685,97.182434,4.648733,0.07768064
d0069,69,2020-05-25,83.81773,74.17396,94.71533,5.100608,0.062362917
d0070,70,2020-05-26,84.74628,73.67499,97.48128,6.264925,0.07142779
d0071,71,2020-05-27,85.077065,74.68592,96.91392,6.679702,0.06646215
d0072,72,2020-05-28,83.60484,74.310486,94.06172,4.8336625,0.060127314
d0073,73,2020-05-29,84.14232,74.132355,95.50389,5.507612,0.06462117
d0074,74,2020-06-01,85.73496,74.778534,98.2967,7.504654,0.06976011
d0075,75,2020-06-02,84.65978,75.377655,95.084946,6.1564684,0.059249945
d0076,76,2020-06-03,83.77861,73.913994,94.959755,5.0515532,0.06391605
d0077,77,2020-06-04,84.46527,74.66,95.55827,5.912566,0.062957056
d0078,78,2020-06-05,85.2996,74.18942,98.07356,6.958747,0.07119806
d0079,79,2020-06-08,84.31792,73.931114,96.16397,5.727792,0.06707168
d0080,80,2020-06-09,85.19958,73.05316,99.365555,6.833327,0.078474015
d0081,81,2020-06-10,85.80503,76.25109,96.556015,7.592511,0.06022747
d0082,82,2020-06-11,85.73778,75.43315,97.45007,7.5081825,0.065329924
d0083,83,2020-06-12,86.0859,75.006584,98.80177,7.944703,0.07029073
d0084,84,2020-06-15,84.89279,73.4268,98.14925,6.4486384,0.07403066
d0085,85,2020-06-16,87.25597,76.24449,99.85775,9.411871,0.068826936
d0086,86,2020-06-17,86.10669,76.59138,96.804146,7.970774,0.059746243
d0087,87,2020-06-18,89.23322,77.24001,103.08865,11.891186,0.07364074
d0088,88,2020-06-19,84.94313,72.00535,100.20552,6.5117598,0.08430685
d0089,89,2020-06-22,83.66209,72.15548,97.00365,4.9054384,0.07549115
d0090,90,2020-06-23,86.1276,74.46632,99.615,7.9969883,0.07422599
d0091,91,2020-06-24,87.33069,72.54133,105.13526,9.505569,0.09466613
d0092,92,2020-06-25,88.16538,78.42063,99.12103,10.552204,0.0597588
d0093,93,2020-06-26,84.18625,71.89202,98.58291,5.562699,0.08054399
d0094,94,2020-06-29,85.79091,75.822136,97.070335,7.5748086,0.063021794
d0095,95,2020-06-30,86.48559,71.4625,104.666885,8.445883,0.09734943
d0096,96,2020-07-01,87.30822,74.35762,102.51438,9.477388,0.08191756
d0097,97,2020-07-02,87.95539,77.397316,99.95376,10.288895,0.06524381
d0098,98,2020-07-03,85.69317,75.67749,97.0344,7.4522495,0.06341448
d0099,99,2020-07-06,90.26961,79.57912,102.39625,13.190735,0.06431082
d0100,100,2020-07-07,90.4843,79.07191,103.54382,13.459932,0.068785
d0101,101,2020-07-08,88.323296,76.18217,102.399345,10.75021,0.07544716
d0102,102,2020-07-09,90.97248,77.16497,107.250626,14.072073,0.08398538
d0103,103,2020-07-10,91.63815,80.87267,103.836716,14.906776,0.06376114
d0104,104,2020-07-13,88.46655,78.258835,100.00572,10.929847,0.06255247
d0105,105,2020-07-14,89.77656,76.43249,105.450325,12.572491,0.082100034
d0106,106,2020-07-15,86.95664,76.28104,99.12631,9.036541,0.0668292
d0107,107,2020-07-16,86.77103,75.454834,99.784355,8.803797,0.07129519
d0108,108,2020-07-17,87.013664,73.23881,103.37931,9.108043,0.087928414
d0109,109,2020-07-20,88.500435,76.70233,102.113304,10.972333,0.07299767
d0110,110,2020-07-21,87.24914,77.15728,98.66096,9.403313,0.06271517
d0111,111,2020-07-22,86.06361,75.10554,98.620476,7.9167485,0.06948588
d0112,112,2020-07-23,90.257805,79.72078,102.18754,13.175928,0.0633366
d0113,113,2020-07-24,89.10136,77.80121,102.04281,11.725843,0.06919271
d0114,114,2020-07-27,87.02057,75.40799,100.42143,9.116697,0.07307719
d0115,115,2020-07-28,87.1221,78.480995,96.71462,9.244013,0.05329289
d0116,116,2020-07-29,90.42035,77.944336,104.89332,13.379753,0.07575226
d0117,117,2020-07-30,90.99549,76.90093,107.67334,14.100933,0.08586326
d0118,118,2020-07-31,89.7862,76.905426,104.82438,12.584579,0.07900761
d0119,119,2020-08-03,91.28103,82.233574,101.32389,14.458966,0.053254753
d0120,120,2020-08-04,92.41205,81.12591,105.26828,15.877175,0.066456586
d0121,121,2020-08-05,87.97308,74.75681,103.52584,10.311079,0.08305636
d0122,122,2020-08-06,90.48173,78.50393,104.28704,13.456715,0.072448574
d0123,123,2020-08-07,90.40665,81.526306,100.25429,13.362562,0.052751023
d0124,124,2020-08-10,91.50796,78.83686,106.21562,14.743519,0.07604353
d0125,125,2020-08-11,88.994255,76.56842,103.43661,11.591541,0.07672813
d0126,126,2020-08-12,90.17032,78.83303,103.138084,13.066233,0.06855526
d0127,127,2020-08-13,90.924904,79.96839,103.38256,14.012421,0.06551144
d0128,128,2020-08-14,92.256996,81.46536,104.47821,15.682756,0.06346952
d0129,129,2020-08-17,88.952614,78.84941,100.35038,11.539328,0.06151227
d0130,130,2020-08-18,91.64734,78.36627,107.17921,14.918291,0.07987465
d0131,131,2020-08-19,91.33166,78.35548,106.456795,14.522457,0.07818453
d0132,132,2020-08-20,89.39564,76.12194,104.98394,12.094843,0.08200787
d0133,133,2020-08-21,91.19049,78.30996,106.18962,14.345444,0.077691704
d0134,134,2020-08-24,93.02216,79.85423,108.36148,16.642212,0.07787495
d0135,135,2020-08-25,89.65574,79.38771,101.251816,12.420988,0.062057935
d0136,136,2020-08-26,92.80365,79.84574,107.86445,16.36821,0.07672927
d0137,137,2020-08-27,91.25955,77.56054,107.37814,14.432037,0.08298415
d0138,138,2020-08-28,93.91014,81.19768,108.6129,17.755663,0.074210055
d0139,139,2020-08-31,91.77074,79.505035,105.928734,15.073025,0.07320053
d0140,140,2020-09-01,91.66613,80.575066,104.283875,14.941859,0.06579784
d0141,141,2020-09-02,90.83991,77.2042,106.88396,13.905848,0.08298209
d0142,142,2020-09-03,92.93553,80.874084,106.79579,16.533577,0.07092474
d0143,143,2020-09-04,92.78665,79.267296,108.61178,16.346895,0.08034544
d0144,144,2020-09-07,89.811646,76.69232,105.17521,12.61648,0.08056782
d0145,145,2020-09-08,93.68736,81.646484,107.50398,17.47632,0.070186034
d0146,146,2020-09-09,93.959305,82.3658,107.18464,17.817307,0.06718946
d0147,147,2020-09-10,91.710655,79.21947,106.17142,14.9976845,0.07470222
d0148,148,2020-09-11,93.86768,80.26244,109.77916,17.702425,0.07989
d0149,149,2020-09-14,93.69797,81.433205,107.80991,17.489613,0.0715782
d0150,150,2020-09-15,94.52093,77.79721,114.83966,18.521536,0.09934474
d0151,151,2020-09-16,95.27385,84.92436,106.8846,19.465637,0.0586706
d0152,152,2020-09-17,93.81461,78.90761,111.5378,17.635881,0.08828722
d0153,153,2020-09-18,93.26793,78.738,110.47913,16.95038,0.08640327
d0154,154,2020-09-21,92.32958,79.12751,107.734375,15.773773,0.07872656
d0155,155,2020-09-22,94.12733,80.38847,110.21423,18.027996,0.08049874
d0156,156,2020-09-23,94.07397,79.74955,110.971275,17.961084,0.08428068
d0157,157,2020-09-24,96.51837,84.754295,109.91534,21.02617,0.06631477
d0158,158,2020-09-25,95.537766,83.16359,109.75314,19.796574,0.07077143
d0159,159,2020-09-28,95.139114,83.99919,107.756386,19.296694,0.06353718
d0160,160,2020-09-29,96.03163,82.88612,111.26198,20.415842,0.075107135
d0161,161,2020-09-30,92.72573,80.22046,107.18039,16.270506,0.0739119
d0162,162,2020-10-01,95.32989,79.80139,113.88006,19.535912,0.09071552
d0163,163,2020-10-02,90.45863,76.54699,106.898575,13.427758,0.08519786
d0164,164,2020-10-05,96.14862,82.31428,112.30807,20.56253,0.07926049
d0165,165,2020-10-06,97.40384,82.5539,114.92502,22.136475,0.08439505
d0166,166,2020-10-07,96.0095,82.54919,111.66464,20.38809,0.077067815
d0167,167,2020-10-08,95.80351,83.05618,110.507286,20.129799,0.07284803
d0168,168,2020-10-09,93.028854,80.229195,107.87056,16.650604,0.075521536
d0169,169,2020-10-12,98.62447,85.852295,113.296745,23.66705,0.07076073
d0170,170,2020-10-13,98.66148,85.9654,113.23262,23.713457,0.070280455
d0171,171,2020-10-14,95.959625,81.57656,112.878624,20.325554,0.08284982
