horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2021-01-25,16.228796,16.079649,16.379326,-0.14585257,0.004710593
d0002,2,2021-01-26,16.235662,16.021557,16.45263,-0.10360479,0.0067730085
d0003,3,2021-01-27,16.281933,15.959312,16.611076,0.18109083,0.010210992
d0004,4,2021-01-28,16.266489,15.930792,16.609259,0.08606911,0.010639405
d0005,5,2021-01-29,16.323942,16.121847,16.528568,0.43957233,0.0063558524
d0006,6,2021-02-01,16.286503,15.896214,16.686378,0.2092123,0.012375471
d0007,7,2021-02-02,16.306828,15.955956,16.665411,0.33426285,0.0110977655
d0008,8,2021-02-03,16.234343,15.924925,16.549774,-0.111722946,0.009818122
d0009,9,2021-02-04,16.268454,15.9284525,16.61571,0.09815693,0.010775912
d0010,10,2021-02-05,16.25186,15.993947,16.513931,-0.0039458275,0.008161774
d0011,11,2021-02-08,16.211498,15.886569,16.543074,-0.25228262,0.010329988
d0012,12,2021-02-09,16.160435,15.923111,16.40129,-0.5664766,0.0075480724
d0013,13,2021-02-10,16.1337,15.920134,16.350126,-0.7309735,0.0067987633
d0014,14,2021-02-11,16.124655,15.846326,16.407873,-0.78662634,0.0088835675
d0015,15,2021-02-12,16.083765,15.64828,16.531372,-1.0382116,0.014004786
d0016,16,2021-02-15,16.090544,15.847534,16.337276,-0.9965062,0.0077641355
d0017,17,2021-02-16,16.00221,15.688704,16.32198,-1.5400112,0.0100948
d0018,18,2021-02-17,16.01943,15.646135,16.401632,-1.434058,0.012029793
d0019,19,2021-02-18,16.00915,15.530624,16.502419,-1.4973164,0.01548293
d0020,20,2021-02-19,15.992838,15.6406555,16.35295,-1.5976787,0.011360879
d0021,21,2021-02-22,15.92661,15.535032,16.328058,-2.0051718,0.01270087
d0022,22,2021-02-23,15.901981,15.52559,16.287497,-2.1567106,0.012221448
d0023,23,2021-02-24,15.964986,15.407755,16.54237,-1.769048,0.018126031
d0024,24,2021-02-25,15.956014,15.576405,16.344872,-1.8242538,0.01228495
d0025,25,2021-02-26,15.916342,15.451247,16.395433,-2.0683527,0.015130928
d0026,26,2021-03-01,15.943823,15.405017,16.501476,-1.8992603,0.017539944
d0027,27,2021-03-02,15.923092,15.314159,16.556238,-2.0268202,0.019894175
d0028,28,2021-03-03,15.8935375,15.247912,16.566502,-2.208662,0.02115815
d0029,29,2021-03-04,15.870672,15.371557,16.385992,-2.3493528,0.016303098
d0030,30,2021-03-05,15.8618355,15.202678,16.549572,-2.4037242,0.02165528
d0031,31,2021-03-08,15.945087,15.504664,16.398018,-1.8914819,0.014290725
d0032,32,2021-03-09,15.82813,15.301701,16.372671,-2.6111126,0.017257566
d0033,33,2021-03-10,15.86287,15.341845,16.401588,-2.3973584,0.017039325
d0034,34,2021-03-11,15.836175,15.270392,16.42292,-2.561611,0.018561756
d0035,35,2021-03-12,15.809334,15.327075,16.306768,-2.7267575,0.015805965
d0036,36,2021-03-15,15.739247,15.170444,16.329376,-3.1579971,0.018779736
d0037,37,2021-03-16,15.790257,15.256438,16.342756,-2.844137,0.017546715
d0038,38,2021-03-17,15.783085,15.374652,16.202368,-2.8882682,0.013376842
d0039,39,2021-03-18,15.7024765,14.984906,16.454409,-3.3842444,0.02386476
d0040,40,2021-03-19,15.7063675,15.186944,16.243557,-3.3603013,0.017158242
d0041,41,2021-03-22,15.736425,15.12254,16.375233,-3.17536,0.020301923
d0042,42,2021-03-23,15.614196,14.933904,16.325476,-3.9274275,0.022727754
d0043,43,2021-03-24,15.669797,15.251695,16.099361,-3.5853148,0.01379818
d0044,44,2021-03-25,15.671212,15.077274,16.28855,-3.5766065,0.019712705
d0045,45,2021-03-26,15.579382,15.031818,16.146894,-4.1416287,0.018254718
d0046,46,2021-03-29,15.593457,14.958503,16.255367,-4.055029,0.021210037
d0047,47,2021-03-30,15.579173,15.132914,16.038593,-4.142916,0.014827993
d0048,48,2021-03-31,15.5513115,14.856868,16.278214,-4.3143454,0.023307517
d0049,49,2021-04-01,15.593744,14.898286,16.321667,-4.053259,0.023277368
d0050,50,2021-04-02,15.546374,14.938956,16.178488,-4.3447256,0.020334177
d0051,51,2021-04-05,15.470366,14.815207,16.154493,-4.8123956,0.022077575
d0052,52,2021-04-06,15.435604,14.601729,16.3171,-5.026281,0.028335124
d0053,53,2021-04-07,15.412483,14.557242,16.317968,-5.168539,0.02912712
d0054,54,2021-04-08,15.470016,14.669034,16.314734,-4.8145533,0.02712495
d0055,55,2021-04-09,15.384998,14.651826,16.154858,-5.3376555,0.024912208
d0056,56,2021-04-12,15.46941,14.783049,16.18764,-4.8182783,0.02315477
d0057,57,2021-04-13,15.369757,14.492337,16.300299,-5.431432,0.029990679
d0058,58,2021-04-14,15.410313,14.765114,16.083708,-5.1818967,0.021821288
d0059,59,2021-04-15,15.312659,14.582231,16.079674,-5.7827473,0.024936808
d0060,60,2021-04-16,15.3808,14.658851,16.138302,-5.3634825,0.024528354
d0061,61,2021-04-19,15.377752,14.454444,16.360037,-5.38224,0.031591747
d0062,62,2021-04-20,15.304547,14.383645,16.28441,-5.83266,0.031662386
d0063,63,2021-04-21,15.286294,14.454933,16.165472,-5.944973,0.028531093
d0064,64,2021-04-22,15.299404,14.368546,16.290571,-5.8643045,0.032026783
d0065,65,2021-04-23,15.315288,14.527645,16.145634,-5.766577,0.026937831
d0066,66,2021-04-26,15.284229,14.533573,16.073656,-5.957675,0.025693929
d0067,67,2021-04-27,15.270144,14.4136095,16.17758,-6.04434,0.029452402
d0068,68,2021-04-28,15.279955,14.516974,16.083035,-5.9839725,0.02613428
d0069,69,2021-04-29,15.298261,14.324024,16.33876,-5.8713436,0.033571925
d0070,70,2021-04-30,15.229903,14.52892,15.964704,-6.291938,0.024040587
