horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2021-01-25,46.937122,42.95639,51.28674,-3.202474,0.045215998
d0002,2,2021-01-26,47.751923,45.066498,50.59736,-1.5221238,0.029530654
d0003,3,2021-01-27,48.59058,46.568123,50.70088,0.20742416,0.021690544
d0004,4,2021-01-28,50.11394,47.41156,52.970356,3.349018,0.028282246
d0005,5,2021-01-29,49.627953,47.04897,52.34831,2.346778,0.027227202
d0006,6,2021-02-01,50.50164,48.766228,52.29883,4.1485667,0.017840834
d0007,7,2021-02-02,47.70304,47.1756,48.236374,-1.6229331,0.0056726346
d0008,8,2021-02-03,49.340054,46.149975,52.750652,1.7530441,0.034101956
d0009,9,2021-02-04,49.120174,47.694904,50.588043,1.2995958,0.01502312
d0010,10,2021-02-05,47.827785,46.3859,49.31449,-1.3656735,0.015617977
d0011,11,2021-02-08,49.19216,48.213867,50.1903,1.4480472,0.010248746
d0012,12,2021-02-09,49.841705,48.603245,51.11172,2.78759,0.012837639
d0013,13,2021-02-10,49.25341,48.510593,50.007587,1.5743613,0.007753197
d0014,14,2021-02-11,49.976776,49.16565,50.801277,3.0661464,0.0083485115
d0015,15,2021-02-12,48.70725,48.31926,49.098354,0.44802427,0.0040804464
d0016,16,2021-02-15,48.91882,47.936893,49.92086,0.8843422,0.010345295
d0017,17,2021-02-16,49.106857,48.647026,49.571033,1.27213,0.004799998
d0018,18,2021-02-17,48.567078,47.230007,49.942,0.15895367,0.014243066
d0019,19,2021-02-18,48.88205,48.37799,49.39136,0.80851316,0.005288417
d0020,20,2021-02-19,48.30526,46.40052,50.288193,-0.38098693,0.020525437
d0021,21,2021-02-22,47.982224,45.067093,51.085907,-1.0471821,0.031978652
d0022,22,2021-02-23,48.850124,47.48287,50.256752,0.7426739,0.014483662
d0023,23,2021-02-24,48.877056,48.21251,49.550755,0.7982135,0.006984426
d0024,24,2021-02-25,48.457653,47.10588,49.848217,-0.06670952,0.014434905
d0025,25,2021-02-26,48.88379,47.887905,49.900383,0.81210136,0.01050144
d0026,26,2021-03-01,49.092957,48.76869,49.419373,1.2434602,0.003381137
d0027,27,2021-03-02,48.963768,48.224854,49.714012,0.97703934,0.0077582635
d0028,28,2021-03-03,48.673264,47.364864,50.01782,0.37794113,0.0139027275
d0029,29,2021-03-04,48.54078,47.61283,49.48681,0.10471344,0.00984793
d0030,30,2021-03-05,48.614502,48.058105,49.177326,0.25675297,0.0058729528
d0031,31,2021-03-08,49.182137,48.29118,50.089542,1.4273763,0.009327374
d0032,32,2021-03-09,49.162495,48.411415,49.925236,1.386869,0.007854856
d0033,33,2021-03-10,49.002846,48.47809,49.533276,1.0576248,0.005493092
d0034,34,2021-03-11,49.4166,48.90428,49.934288,1.9109011,0.0053170784
d0035,35,2021-03-12,48.803307,47.627205,50.008465,0.6461263,0.012445974
d0036,36,2021-03-15,48.294514,46.68496,49.959568,-0.40314794,0.017293908
d0037,37,2021-03-16,48.963345,48.287548,49.64861,0.9761691,0.007090943
d0038,38,2021-03-17,49.043655,47.43703,50.704697,1.1417866,0.016993737
d0039,39,2021-03-18,49.074127,47.465824,50.736923,1.2046337,0.017001012
d0040,40,2021-03-19,48.94109,48.44181,49.445522,0.93027353,0.0052316724
d0041,41,2021-03-22,49.10936,48.39838,49.830772,1.2772918,0.007440406
d0042,42,2021-03-23,49.11645,47.87315,50.39203,1.2919188,0.013081171
d0043,43,2021-03-24,48.97603,48.419872,49.53857,1.0023236,0.0058268458
d0044,44,2021-03-25,49.247715,48.882713,49.615444,1.5626192,0.0037954985
d0045,45,2021-03-26,48.917316,47.588432,50.283314,0.88124275,0.014051944
d0046,46,2021-03-29,49.345913,48.313015,50.400887,1.765132,0.010792824
d0047,47,2021-03-30,49.31833,48.615334,50.031483,1.7082453,0.007324853
d0048,48,2021-03-31,48.251648,46.63081,49.928825,-0.49155354,0.01743295
d0049,49,2021-04-01,49.296642,48.1661,50.453716,1.663518,0.011837003
d0050,50,2021-04-02,49.176094,48.56306,49.796864,1.4149189,0.006400224
d0051,51,2021-04-05,49.58559,48.58702,50.604683,2.2594094,0.010379518
d0052,52,2021-04-06,49.459835,48.39536,50.54773,2.0000696,0.011100556
d0053,53,2021-04-07,49.619537,49.09028,50.154495,2.329421,0.00547118
d0054,54,2021-04-08,49.754246,48.30011,51.252148,2.6072264,0.015133621
d0055,55,2021-04-09,49.809525,49.072575,50.557537,2.7212262,0.0076050223
d0056,56,2021-04-12,49.646046,48.943127,50.359074,2.3840904,0.0072754626
d0057,57,2021-04-13,49.61759,48.68461,50.56846,2.3254037,0.009684979
d0058,58,2021-04-14,49.69521,48.888042,50.5157,2.485478,0.008354923
d0059,59,2021-04-15,50.20052,47.39169,53.17582,3.5275698,0.029376764
d0060,60,2021-04-16,49.691315,48.547703,50.86187,2.4774432,0.011879241
d0061,61,2021-04-19,49.63899,48.88374,50.405907,2.369535,0.00782235
d0062,62,2021-04-20,50.12693,49.151638,51.121567,3.3758044,0.010024574
d0063,63,2021-04-21,49.922745,49.362434,50.48941,2.9547215,0.005758629
d0064,64,2021-04-22,50.085346,49.43334,50.745953,3.2900453,0.006685426
d0065,65,2021-04-23,49.88266,49.07574,50.702854,2.8720498,0.008320762
d0066,66,2021-04-26,49.96818,49.36966,50.57396,3.04842,0.0061481623
d0067,67,2021-04-27,49.9714,48.968895,50.99444,3.05506,0.010339598
d0068,68,2021-04-28,50.113842,49.60907,50.623753,3.3488154,0.005165111
d0069,69,2021-04-29,50.03283,49.469597,50.602474,3.1817436,0.005776094
d0070,70,2021-04-30,50.046604,49.501015,50.598206,3.2101512,0.005592586
d0071,71,2021-05-03,49.907173,49.021355,50.809006,2.9226065,0.009137158
d0072,72,2021-05-04,50.444733,49.129642,51.795013,4.031205,0.01347736
d0073,73,2021-05-05,49.92222,49.239613,50.614285,2.9536366,0.0070243725
d0074,74,2021-05-06,49.954647,48.95466,50.975067,3.020513,0.010316865
d0075,75,2021-05-07,49.718857,47.706482,51.816116,2.5342464,0.021080112
d0076,76,2021-05-10,50.14092,49.434727,50.857197,3.404653,0.0072368747
d0077,77,2021-05-11,50.07071,49.58515,50.561024,3.2598615,0.0049718376
d0078,78,2021-05-12,50.27823,49.2618,51.315628,3.6878228,0.01042001
d0079,79,2021-05-13,50.25326,49.62769,50.886723,3.6363363,0.006391105
d0080,80,2021-05-14,50.295116,48.975784,51.649986,3.7226558,0.013562231
d0081,81,2021-05-17,50.27757,49.1175,51.465034,3.6864638,0.011910048
d0082,82,2021-05-18,50.336056,49.284492,51.410057,3.8070798,0.010771527
d0083,83,2021-05-19,50.080704,49.591187,50.575058,3.2804728,0.005011614
d0084,84,2021-05-20,50.093056,49.32197,50.876186,3.3059478,0.007914612
d0085,85,2021-05-21,50.42308,49.84643,51.00641,3.9865494,0.0058684535
d0086,86,2021-05-24,50.43285,49.852074,51.020393,4.0066957,0.0059095393
d0087,87,2021-05-25,50.497456,49.7995,51.2052,4.139936,0.0071010184
d0088,88,2021-05-26,50.517204,49.679234,51.369293,4.180658,0.008534083
d0089,89,2021-05-27,50.39237,49.276276,51.533737,3.9232135,0.011427011
d0090,90,2021-05-28,50.27862,49.251396,51.327274,3.6886334,0.010531767
d0091,91,2021-05-31,50.55429,49.852196,51.266273,4.2571425,0.007135367
d0092,92,2021-06-01,50.606197,49.820442,51.404354,4.3641925,0.007984067
d0093,93,2021-06-02,50.59842,49.797276,51.412434,4.348147,0.008142815
d0094,94,2021-06-03,50.651592,49.833225,51.483402,4.4578075,0.008310606
d0095,95,2021-06-04,50.784542,50.100033,51.4784,4.731989,0.006923651
d0096,96,2021-06-07,50.095398,48.937824,51.28035,3.3107758,0.011927848
d0097,97,2021-06-08,50.945282,50.311695,51.58685,5.063474,0.006385029
d0098,98,2021-06-09,50.712547,49.836895,51.60359,4.5835137,0.008886646
d0099,99,2021-06-10,50.77637,50.146687,51.413956,4.7151327,0.006366603
d0100,100,2021-06-11,50.62243,49.94297,51.31112,4.3976665,0.0068942956
d0101,101,2021-06-14,50.89518,50.152824,51.648518,4.9601555,0.007496606
d0102,102,2021-06-15,50.761772,49.90595,51.632263,4.6850324,0.00867516
d0103,103,2021-06-16,50.459515,49.417267,51.523746,4.061687,0.010648688
d0104,104,2021-06-17,50.841324,50.043667,51.651688,4.849088,0.008068101
