horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2022-02-03,325.28952,322.39212,328.21295,0.70883036,0.004564803
d0002,2,2022-02-04,324.01663,321.21106,326.84677,0.3147483,0.0044370196
d0003,3,2022-02-07,322.22647,320.0379,324.43,-0.2394855,0.0034771182
d0004,4,2022-02-08,330.11487,326.83255,333.43018,2.2027493,0.005098335
d0005,5,2022-02-09,324.4445,323.32645,325.56653,0.44721365,0.0017613173
d0006,6,2022-02-10,321.85495,319.8114,323.9116,-0.3545046,0.0032498017
d0007,7,2022-02-11,328.2158,325.55786,330.89542,1.6147971,0.00414854
d0008,8,2022-02-14,321.03745,319.2439,322.84113,-0.6075978,0.0028583934
d0009,9,2022-02-15,320.94888,316.54483,325.41415,-0.6350219,0.007049423
d0010,10,2022-02-16,321.42212,319.7648,323.088,-0.48850775,0.002637507
d0011,11,2022-02-17,322.02292,319.3747,324.69308,-0.30249953,0.0042130994
d0012,12,2022-02-18,324.6897,322.49738,326.89697,0.5231261,0.0034566503
d0013,13,2022-02-21,320.99673,318.48935,323.5238,-0.6202102,0.0040009455
d0014,14,2022-02-22,328.10715,323.88983,332.37943,1.5811563,0.0066004125
d0015,15,2022-02-23,320.88928,317.98883,323.8162,-0.6534755,0.0046325997
d0016,16,2022-02-24,326.93283,324.34732,329.53897,1.2175918,0.0040509487
d0017,17,2022-02-25,327.9177,326.1912,329.65335,1.5225053,0.0026933835
d0018,18,2022-02-28,322.08655,316.74738,327.51572,-0.2828002,0.008528427
d0019,19,2022-03-01,326.99677,325.7727,328.2255,1.2373924,0.001913478
d0020,20,2022-03-02,322.1169,317.23282,327.07626,-0.27340055,0.007795247
d0021,21,2022-03-03,326.26172,325.00473,327.5236,1.0098219,0.001969483
d0022,22,2022-03-04,325.39117,324.02722,326.76086,0.7403016,0.0021431542
d0023,23,2022-03-07,329.58713,327.49838,331.68927,2.039361,0.0032437362
d0024,24,2022-03-08,330.308,328.1763,332.45358,2.2625446,0.003303376
d0025,25,2022-03-09,320.32794,316.49188,324.21042,-0.8272648,0.006146718
d0026,26,2022-03-10,329.06378,327.12253,331.01654,1.8773317,0.0030187522
d0027,27,2022-03-11,329.76462,327.68024,331.8622,2.0943046,0.0032351273
d0028,28,2022-03-14,323.34885,320.3619,326.36365,0.10800362,0.004734937
d0029,29,2022-03-15,326.28204,324.21875,328.3585,1.0161161,0.003236594
d0030,30,2022-03-16,326.6857,323.98486,329.40903,1.1410832,0.004235553
