horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2020-01-01,157.33376,156.49335,158.17865,-0.23224354,0.002732565
d0002,2,2020-01-02,157.71556,156.7737,158.66309,0.009870529,0.0030560517
d0003,3,2020-01-03,158.0727,157.54855,158.59857,0.23633242,0.0016945495
d0004,4,2020-01-06,158.07414,157.32437,158.8275,0.23725033,0.0024257863
d0005,5,2020-01-07,158.20847,157.62708,158.79199,0.32242537,0.0018783474
d0006,6,2020-01-08,158.12578,157.37085,158.88434,0.26999712,0.0024416647
d0007,7,2020-01-09,158.59747,158.05107,159.14575,0.56910515,0.0017607528
d0008,8,2020-01-10,158.59358,157.7347,159.45715,0.5666375,0.0027706083
d0009,9,2020-01-13,159.64809,158.87106,160.42894,1.2353182,0.0024893314
d0010,10,2020-01-14,158.69678,157.85109,159.54701,0.6320715,0.0027261805
d0011,11,2020-01-15,158.49173,157.23257,159.76093,0.5020499,0.0040695043
d0012,12,2020-01-16,159.6859,158.76569,160.61148,1.2592912,0.0029486748
d0013,13,2020-01-17,159.1635,158.0582,160.27652,0.9280324,0.0035553882
d0014,14,2020-01-20,159.5894,158.99399,160.18706,1.198101,0.0019070982
d0015,15,2020-01-21,159.99554,158.94742,161.05058,1.4556408,0.0033532921
d0016,16,2020-01-22,158.73393,157.65797,159.81723,0.6556392,0.0034701258
d0017,17,2020-01-23,160.38783,159.40735,161.37436,1.7043948,0.0031285675
d0018,18,2020-01-24,159.21964,158.27892,160.16595,0.9636283,0.0030233946
d0019,19,2020-01-27,161.31668,160.325,162.3145,2.293396,0.0031461234
d0020,20,2020-01-28,160.39513,159.51479,161.28032,1.7090201,0.0028079834
d0021,21,2020-01-29,159.69688,158.62552,160.77545,1.266253,0.003434244
d0022,22,2020-01-30,159.57384,158.23888,160.92,1.1882305,0.0042860964
d0023,23,2020-01-31,161.17961,160.32367,162.04016,2.2064805,0.0027167066
d0024,24,2020-02-03,159.9603,159.07683,160.8487,1.433289,0.0028257258
d0025,25,2020-02-04,161.67342,160.52216,162.83295,2.5196075,0.0036461512
d0026,26,2020-02-05,158.49374,156.91733,160.08597,0.50332546,0.005099957
d0027,27,2020-02-06,160.65079,159.29851,162.01456,1.8711448,0.0043128617
d0028,28,2020-02-07,160.51306,159.20952,161.82732,1.783812,0.0041603893
d0029,29,2020-02-10,161.46179,160.21732,162.71596,2.3854136,0.003947687
d0030,30,2020-02-11,160.88264,159.76714,162.00597,2.0181656,0.0035499681
d0031,31,2020-02-12,160.18167,158.8133,161.56184,1.5736699,0.0043772417
d0032,32,2020-02-13,162.6933,161.52655,163.8685,3.1663299,0.0036720978
d0033,33,2020-02-14,160.19496,158.87357,161.52739,1.582098,0.0042260387
d0034,34,2020-02-17,160.80164,159.54903,162.0641,1.9667983,0.0039899684
d0035,35,2020-02-18,161.62286,160.31548,162.94096,2.4875522,0.0041439943
d0036,36,2020-02-19,160.84029,159.1872,162.51057,1.9913077,0.0052709654
d0037,37,2020-02-20,160.63113,159.18059,162.0949,1.8586755,0.004628215
d0038,38,2020-02-21,161.6943,160.36348,163.03618,2.5328517,0.0042166105
d0039,39,2020-02-24,161.96259,160.55252,163.38503,2.7029753,0.004461305
d0040,40,2020-02-25,162.3519,161.17632,163.53604,2.9498458,0.0037077675
