horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2023-05-25,30.482225,30.195623,30.771551,-0.18264055,0.0048197946
d0002,2,2023-05-26,30.452782,30.03726,30.874054,-0.27905703,0.007009592
d0003,3,2023-05-29,30.607746,30.107195,31.116625,0.22839308,0.008412769
d0004,4,2023-05-30,30.55324,29.923199,31.196543,0.04990101,0.01063092
d0005,5,2023-05-31,30.745558,30.11062,31.393887,0.67967176,0.0106467465
d0006,6,2023-06-01,30.811115,30.299358,31.331512,0.89434385,0.008545348
d0007,7,2023-06-02,31.120186,30.447874,31.807339,1.9064307,0.011143084
d0008,8,2023-06-05,30.857836,30.20748,31.52219,1.047337,0.010867924
d0009,9,2023-06-06,30.854979,30.230724,31.492126,1.0379791,0.010428297
d0010,10,2023-06-07,31.016285,30.466837,31.575642,1.5661955,0.009119178
d0011,11,2023-06-08,30.908903,30.09344,31.746464,1.2145638,0.013641387
d0012,12,2023-06-09,30.979597,30.227827,31.750061,1.4460564,0.01253359
d0013,13,2023-06-12,30.930058,30.328577,31.543465,1.2838364,0.010019378
d0014,14,2023-06-13,31.120968,30.454735,31.801777,1.9089937,0.011041004
d0015,15,2023-06-14,31.211174,30.54689,31.889915,2.2043824,0.01097627
d0016,16,2023-06-15,31.08573,30.5827,31.597029,1.7935991,0.008323606
d0017,17,2023-06-16,30.953327,30.067171,31.865597,1.360035,0.014819649
d0018,18,2023-06-19,30.971031,30.145884,31.818764,1.4180064,0.013777468
d0019,19,2023-06-20,31.014381,30.29472,31.751139,1.5599608,0.011978368
d0020,20,2023-06-21,31.052588,30.236181,31.891043,1.685071,0.013593368
d0021,21,2023-06-22,31.425358,30.691097,32.17719,2.9057503,0.012062547
d0022,22,2023-06-23,31.369398,30.649775,32.10591,2.7225018,0.0118405465
d0023,23,2023-06-26,31.381687,30.79362,31.980988,2.7627468,0.009651561
d0024,24,2023-06-27,31.532736,30.908325,32.169754,3.25737,0.010204364
d0025,25,2023-06-28,31.348505,30.638792,32.074657,2.6540875,0.011683497
d0026,26,2023-06-29,31.233702,30.68288,31.794409,2.2781491,0.009077952
d0027,27,2023-06-30,31.360733,30.686457,32.049828,2.69413,0.011089392
d0028,28,2023-07-03,31.33941,30.668327,32.02519,2.624309,0.011043962
d0029,29,2023-07-04,31.692947,30.919239,32.486023,3.7819982,0.012610039
d0030,30,2023-07-05,31.337776,30.602085,32.09116,2.6189566,0.01212052
d0031,31,2023-07-06,31.602938,30.7007,32.531693,3.4872532,0.014777909
d0032,32,2023-07-07,31.319164,30.64833,32.004684,2.5580049,0.011046928
d0033,33,2023-07-10,31.827639,31.099756,32.57256,4.2230606,0.011803632
d0034,34,2023-07-11,31.72523,30.758106,32.722767,3.887713,0.015795246
d0035,35,2023-07-12,31.941824,31.081347,32.826122,4.5969725,0.013932854
d0036,36,2023-07-13,32.381714,31.636688,33.14428,6.037438,0.011875686
d0037,37,2023-07-14,32.211655,31.438438,33.003887,5.4805636,0.012396456
d0038,38,2023-07-17,32.039185,31.156456,32.94692,4.915786,0.014254195
d0039,39,2023-07-18,31.826674,31.022427,32.65177,4.2199016,0.013058357
d0040,40,2023-07-19,31.836678,31.053337,32.639782,4.2526603,0.012710601
d0041,41,2023-07-20,31.980066,31.385105,32.5863,4.722202,0.009581266
d0042,42,2023-07-21,32.178226,31.392176,32.98396,5.3711057,0.012618036
d0043,43,2023-07-24,32.349827,31.662127,33.05246,5.9330225,0.010962936
d0044,44,2023-07-25,32.010902,31.10605,32.942074,4.823184,0.014629676
d0045,45,2023-07-26,31.47422,30.620329,32.351925,3.065753,0.014033023
d0046,46,2023-07-27,31.828457,30.905941,32.77851,4.225743,0.015006314
d0047,47,2023-07-28,32.477146,31.526297,33.45668,6.349945,0.015160599
d0048,48,2023-07-31,31.955751,31.098543,32.836582,4.642582,0.013873052
d0049,49,2023-08-01,32.10607,31.121561,33.121727,5.134821,0.015889939
d0050,50,2023-08-02,31.948074,31.245962,32.66596,4.6174407,0.011337577
d0051,51,2023-08-03,32.364765,31.690012,33.05389,5.981946,0.010749418
d0052,52,2023-08-04,32.501587,31.836979,33.180065,6.429982,0.010541042
d0053,53,2023-08-07,31.90906,30.952562,32.895115,4.489684,0.015527663
d0054,54,2023-08-08,32.249134,31.24574,33.284756,5.6032896,0.016126629
d0055,55,2023-08-09,32.613834,31.675615,33.579838,6.79754,0.014892491
d0056,56,2023-08-10,32.55328,31.596323,33.53922,6.5992475,0.015223138
d0057,57,2023-08-11,32.74438,31.901564,33.60946,7.2250366,0.013304226
d0058,58,2023-08-14,33.13482,32.408237,33.877697,8.503569,0.011312322
d0059,59,2023-08-15,32.315117,31.535929,33.113556,5.8193564,0.012452869
d0060,60,2023-08-16,32.890522,32.20163,33.594154,7.7035904,0.01079975
d0061,61,2023-08-17,33.12549,32.313747,33.957626,8.473015,0.01265833
d0062,62,2023-08-18,33.468063,32.70065,34.25348,9.5948105,0.01183499
d0063,63,2023-08-21,32.716404,31.945683,33.50573,7.1334243,0.012163105
d0064,64,2023-08-22,33.267044,32.280678,34.283546,8.936548,0.015356288
d0065,65,2023-08-23,33.175144,32.089527,34.297493,8.635616,0.016975144
d0066,66,2023-08-24,32.89131,31.930859,33.880657,7.706177,0.015120241
d0067,67,2023-08-25,33.38505,32.651863,34.1347,9.322977,0.011329712
d0068,68,2023-08-28,33.0132,32.300137,33.741997,8.105302,0.011140798
d0069,69,2023-08-29,33.048916,32.05555,34.073074,8.22227,0.01557068
d0070,70,2023-08-30,32.944916,31.92045,34.002266,7.881713,0.016117416
d0071,71,2023-08-31,33.87527,32.846546,34.936226,10.928261,0.015734088
d0072,72,2023-09-01,33.505524,32.67591,34.3562,9.717476,0.012791932
d0073,73,2023-09-04,33.003025,32.133698,33.89587,8.071995,0.013619348
d0074,74,2023-09-05,33.68809,32.826843,34.571926,10.315311,0.013213095
d0075,75,2023-09-06,33.092735,32.269558,33.936916,8.365763,0.012851798
d0076,76,2023-09-07,33.73373,32.72224,34.776485,10.464764,0.015532244
d0077,77,2023-09-08,33.04437,31.99292,34.13038,8.20738,0.016498292
d0078,78,2023-09-11,32.88954,31.879118,33.931995,7.7003837,0.015920201
d0079,79,2023-09-12,33.599277,32.81901,34.3981,10.024488,0.011988113
d0080,80,2023-09-13,33.73555,32.79426,34.703865,10.470724,0.014438135
d0081,81,2023-09-14,33.522823,32.495182,34.582966,9.774124,0.015885072
d0082,82,2023-09-15,33.137566,32.13266,34.173897,8.512556,0.015711503
d0083,83,2023-09-18,33.59028,32.64922,34.558453,9.99502,0.014497783
d0084,84,2023-09-19,33.345707,32.48151,34.2329,9.194136,0.013396986
d0085,85,2023-09-20,33.32661,32.301548,34.38421,9.131611,0.015939364
d0086,86,2023-09-21,34.000355,33.140728,34.882286,11.3378525,0.013065354
d0087,87,2023-09-22,34.12655,33.221504,35.056248,11.751091,0.0137134
d0088,88,2023-09-25,34.22743,33.41862,35.055813,12.081432,0.012201046
d0089,89,2023-09-26,33.406536,32.419853,34.423252,9.393334,0.01529624
d0090,90,2023-09-27,33.109066,32.02218,34.232853,8.419239,0.017029855
d0091,91,2023-09-28,33.465675,32.378277,34.589596,9.58699,0.016853375
d0092,92,2023-09-29,34.37066,33.450256,35.316387,12.550461,0.01384886
d0093,93,2023-10-02,33.90257,32.733128,35.113792,11.017645,0.017909778
d0094,94,2023-10-03,34.520092,33.74985,35.307907,13.039791,0.011513015
d0095,95,2023-10-04,33.897243,33.03907,34.77771,11.000204,0.013083131
d0096,96,2023-10-05,33.789112,32.537827,35.088516,10.646116,0.019252732
d0097,97,2023-10-06,33.683228,32.56787,34.836777,10.299385,0.017180433
d0098,98,2023-10-09,33.79667,32.701412,34.928616,10.670864,0.01680822
d0099,99,2023-10-10,34.180508,33.0892,35.307804,11.927784,0.016555386
d0100,100,2023-10-11,34.722294,33.781338,35.689457,13.701927,0.014017037
d0101,101,2023-10-12,33.888527,32.967373,34.835423,10.971665,0.01406033
d0102,102,2023-10-13,34.52869,33.62327,35.458496,13.067949,0.013557285
d0103,103,2023-10-16,34.99765,34.182755,35.83197,14.603603,0.012020247
d0104,104,2023-10-17,34.132847,33.073135,35.226513,11.771715,0.016091244
d0105,105,2023-10-18,34.3744,33.445393,35.32922,12.562716,0.013978714
d0106,106,2023-10-19,34.607162,33.460903,35.79269,13.324917,0.017185194
d0107,107,2023-10-20,34.233345,32.843884,35.68159,12.100803,0.021140145
d0108,108,2023-10-23,34.71459,33.840137,35.61164,13.676691,0.013016559
d0109,109,2023-10-24,34.816704,33.93958,35.716503,14.0110855,0.013018072
d0110,110,2023-10-25,35.046726,34.1756,35.940052,14.764309,0.0128419325
d0111,111,2023-10-26,34.841213,33.584274,36.14519,14.091337,0.018746443
d0112,112,2023-10-27,35.202255,34.29282,36.135803,15.273607,0.013354126
d0113,113,2023-10-30,34.859802,33.80469,35.947845,14.1522045,0.015681017
d0114,114,2023-10-31,35.32464,34.106888,36.58587,15.674364,0.017898664
d0115,115,2023-11-01,34.189743,32.99243,35.43049,11.958027,0.018187372
d0116,116,2023-11-02,34.845905,34.00883,35.703587,14.106703,0.012405865
d0117,117,2023-11-03,35.235638,34.171795,36.3326,15.382921,0.015641531
d0118,118,2023-11-06,35.33008,34.313156,36.377144,15.692186,0.014901001
d0119,119,2023-11-07,35.379887,34.419807,36.366745,15.8552885,0.014036389
d0120,120,2023-11-08,34.967724,33.838173,36.134987,14.505613,0.016753064
d0121,121,2023-11-09,35.54556,34.54274,36.577496,16.397799,0.014600993
d0122,122,2023-11-10,34.7967,33.751476,35.8743,13.94558,0.0155604705
d0123,123,2023-11-13,34.775696,33.86696,35.708813,13.876796,0.013509618
d0124,124,2023-11-14,35.4579,34.442383,36.50337,16.110754,0.014825658
d0125,125,2023-11-15,35.213326,34.034634,36.432827,15.309858,0.017370261
d0126,126,2023-11-16,35.40245,34.5384,36.288124,15.929174,0.012606821
