horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2020-02-20,338.1152,337.2509,338.98175,-0.0664413,0.0013059056
d0002,2,2020-02-21,338.78607,338.3162,339.25662,0.13184547,0.00070812705
d0003,3,2020-02-24,338.79886,338.4526,339.14542,0.13562441,0.00052163994
d0004,4,2020-02-25,339.0919,338.8857,339.2982,0.22222996,0.00031030932
d0005,5,2020-02-26,339.59464,338.92245,340.26816,0.37082434,0.0010109248
d0006,6,2020-02-27,339.46506,338.9543,339.97653,0.3325224,0.0007681697
d0007,7,2020-02-28,339.51477,339.17978,339.85013,0.3472209,0.0005036864
d0008,8,2020-03-02,340.0104,339.40952,340.61237,0.49370527,0.00090247334
d0009,9,2020-03-03,340.1545,339.60535,340.7046,0.53629875,0.00082440197
d0010,10,2020-03-04,340.11478,339.68982,340.54025,0.52455664,0.0006378328
d0011,11,2020-03-05,340.3732,339.7934,340.95392,0.600934,0.00086977135
d0012,12,2020-03-06,340.41818,339.90915,340.928,0.61422586,0.00076352514
d0013,13,2020-03-09,340.54828,340.0847,341.01248,0.6526828,0.000695
d0014,14,2020-03-10,340.40683,339.91183,340.90256,0.6108761,0.00074244995
d0015,15,2020-03-11,340.51788,339.93936,341.09735,0.6436944,0.00086748967
d0016,16,2020-03-12,340.28766,339.87698,340.69882,0.57564974,0.0006160818
d0017,17,2020-03-13,340.4896,339.9899,340.99002,0.6353378,0.0007493085
d0018,18,2020-03-16,340.4387,340.229,340.6485,0.6202936,0.0003143403
d0019,19,2020-03-17,340.37262,339.99188,340.7538,0.60076714,0.0005710546
d0020,20,2020-03-18,340.3284,339.97467,340.68243,0.5876899,0.0005305201
d0021,21,2020-03-19,340.2812,339.91022,340.6527,0.5737424,0.0005566387
d0022,22,2020-03-20,340.25906,339.80466,340.71417,0.5671978,0.00068190886
d0023,23,2020-03-23,340.2997,339.83408,340.76596,0.5792141,0.00069858273
d0024,24,2020-03-24,340.30396,339.8163,340.7922,0.5804658,0.00073152623
d0025,25,2020-03-25,340.28555,339.5412,341.03146,0.57502985,0.0011172054
