horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2025-04-17,607.0302,553.10065,666.2181,3.7587523,0.047468632
d0002,2,2025-04-18,583.1051,534.89545,635.6599,-0.3307283,0.044028677
d0003,3,2025-04-21,573.68085,513.2127,641.27344,-1.9416034,0.056827955
d0004,4,2025-04-22,586.9682,535.1914,643.7542,0.32958984,0.047115423
d0005,5,2025-04-23,592.7087,538.68787,652.1469,1.3108015,0.048758548
d0006,6,2025-04-24,577.6268,522.4154,638.6731,-1.2671292,0.05125755
d0007,7,2025-04-25,579.4431,532.8504,630.11005,-0.9566605,0.042768784
d0008,8,2025-04-28,576.5173,531.92694,624.84546,-1.4567733,0.041070983
d0009,9,2025-04-29,584.7619,530.6123,644.4376,-0.047534704,0.049578156
d0010,10,2025-04-30,577.8249,524.40704,636.6842,-1.2332618,0.04949123
d0011,11,2025-05-01,584.20374,531.20166,642.4944,-0.1429379,0.048524585
d0012,12,2025-05-02,580.5954,535.1774,629.8679,-0.7597029,0.041559115
d0013,13,2025-05-05,574.75085,517.76624,638.00714,-1.7587006,0.053271867
d0014,14,2025-05-06,579.3277,507.1807,661.73773,-0.97638965,0.067857645
d0015,15,2025-05-07,587.9423,537.27673,643.3857,0.49608946,0.045977343
d0016,16,2025-05-08,575.94867,530.0746,625.7929,-1.5539587,0.0423474
d0017,17,2025-05-09,582.6146,514.11523,660.24084,-0.41456223,0.06381561
d0018,18,2025-05-12,574.6764,521.3499,633.45746,-1.7714322,0.04968658
d0019,19,2025-05-13,584.78925,531.0304,643.9904,-0.04285574,0.049200173
d0020,20,2025-05-14,577.1387,530.0148,628.4524,-1.3505578,0.043458022
d0021,21,2025-05-15,573.8709,517.7479,636.07745,-1.9091129,0.052508127
d0022,22,2025-05-16,574.6171,524.34045,629.7146,-1.781565,0.046715718
d0023,23,2025-05-19,582.9552,512.27094,663.3927,-0.35635233,0.0659473
d0024,24,2025-05-20,573.90424,504.27896,653.1425,-1.9034147,0.06598616
d0025,25,2025-05-21,578.6776,533.3594,627.84644,-1.0875046,0.041607156
d0026,26,2025-05-22,569.45575,515.8534,628.6279,-2.6637912,0.050438028
d0027,27,2025-05-23,566.40424,493.87762,649.58154,-3.1853795,0.06990832
d0028,28,2025-05-26,565.4455,506.5372,631.2046,-3.3492565,0.05613067
d0029,29,2025-05-27,570.19794,510.79282,636.512,-2.5369227,0.05613248
d0030,30,2025-05-28,575.5277,519.56006,637.52435,-1.6259134,0.052196406
d0031,31,2025-05-29,576.59796,512.098,649.22186,-1.4429808,0.060525108
d0032,32,2025-05-30,564.05853,512.8912,620.33044,-3.586328,0.048517518
d0033,33,2025-06-02,575.70447,517.6196,640.3073,-1.5957057,0.05426218
d0034,34,2025-06-03,566.3425,518.48035,618.623,-3.1959295,0.045049466
d0035,35,2025-06-04,554.9246,482.13498,638.70355,-5.1475763,0.07173884
d0036,36,2025-06-05,563.46326,498.40625,637.0122,-3.688079,0.06259522
d0037,37,2025-06-06,569.135,519.67084,623.3074,-2.7186096,0.046388816
d0038,38,2025-06-09,566.4924,520.8923,616.0845,-3.1703115,0.04281657
d0039,39,2025-06-10,557.9052,495.3525,628.35706,-4.6380997,0.06067318
d0040,40,2025-06-11,563.01715,493.62033,642.1703,-3.7643313,0.06711398
d0041,41,2025-06-12,571.18195,513.41187,635.4525,-2.3687303,0.054402776
d0042,42,2025-06-13,570.1821,503.45355,645.75494,-2.5396287,0.06350219
d0043,43,2025-06-16,555.28436,490.7636,628.28766,-5.0860825,0.06301924
d0044,44,2025-06-17,567.3137,498.56342,645.5445,-3.0299246,0.06590901
d0045,45,2025-06-18,570.9625,511.96152,636.7631,-2.4062335,0.055650085
d0046,46,2025-06-19,559.1325,500.89664,624.139,-4.428327,0.056115653
d0047,47,2025-06-20,558.66266,501.98563,621.73883,-4.5086327,0.054578744
d0048,48,2025-06-23,558.733,482.384,647.1661,-4.4966164,0.0749649
d0049,49,2025-06-24,560.6192,494.17767,635.9937,-4.1742086,0.064360596
d0050,50,2025-06-25,549.0357,488.68842,616.8351,-6.1541557,0.0594073
d0051,51,2025-06-26,568.793,518.47015,624.00024,-2.7770698,0.04726233
d0052,52,2025-06-27,557.8376,493.50397,630.55774,-4.6496687,0.06251881
d0053,53,2025-06-30,560.3699,504.02026,623.0194,-4.21682,0.054071743
d0054,54,2025-07-01,558.1445,493.80704,630.86444,-4.597205,0.062486265
d0055,55,2025-07-02,545.6568,482.7457,616.76636,-6.7317066,0.06250003
d0056,56,2025-07-03,548.07025,499.2526,601.66144,-6.319177,0.047597628
d0057,57,2025-07-04,555.40186,498.84067,618.3763,-5.065995,0.05479855
d0058,58,2025-07-07,546.6669,490.80756,608.8836,-6.559062,0.0549936
d0059,59,2025-07-08,547.4081,487.61417,614.5343,-6.4323606,0.059015375
d0060,60,2025-07-09,549.8712,483.45547,625.411,-6.011343,0.065675974
d0061,61,2025-07-10,552.9565,499.5092,612.12256,-5.483985,0.05186392
d0062,62,2025-07-11,553.1518,490.99283,623.18,-5.4505944,0.06081779
d0063,63,2025-07-14,556.28253,503.859,614.16034,-4.91547,0.0504999
