horizon_name,trading_day_ahead,forecast_date,expected_price,lower_price,upper_price,expected_return_pct,std_log_return
d0001,1,2020-02-21,61.038055,59.428997,62.690685,1.9680142,0.013630266
d0002,2,2020-02-24,58.57454,57.712185,59.449776,-2.147448,0.007567221
d0003,3,2020-02-25,58.079094,56.68234,59.510284,-2.9751182,0.012420007
d0004,4,2020-02-26,60.88032,59.26692,62.537655,1.704514,0.013703474
d0005,5,2020-02-27,58.670124,58.04214,59.304897,-1.9877672,0.00549042
d0006,6,2020-02-28,57.643417,56.71304,58.589058,-3.7029445,0.008301999
d0007,7,2020-03-02,58.646614,58.11816,59.17987,-2.0270407,0.0046181753
d0008,8,2020-03-03,59.643204,58.911655,60.38384,-0.3621757,0.0062965914
d0009,9,2020-03-04,57.515816,56.68413,58.35969,-3.9161146,0.007431413
d0010,10,2020-03-05,58.184505,57.23403,59.15076,-2.7990222,0.008403245
d0011,11,2020-03-06,58.120975,57.607162,58.63937,-2.9051542,0.0045304573
d0012,12,2020-03-09,57.69536,56.619183,58.791996,-3.616172,0.009606613
d0013,13,2020-03-10,58.064713,57.4519,58.68405,-2.9991448,0.00541326
d0014,14,2020-03-11,56.00988,54.262543,57.813496,-6.4318776,0.01617041
d0015,15,2020-03-12,56.99624,56.05133,57.95707,-4.7841015,0.008529254
d0016,16,2020-03-13,57.190548,56.111122,58.290737,-4.4594946,0.009721727
d0017,17,2020-03-16,56.63421,55.75319,57.52916,-5.3888917,0.007999324
d0018,18,2020-03-17,56.8103,55.979614,57.6533,-5.0947247,0.007515263
d0019,19,2020-03-18,56.118587,55.01047,57.249023,-6.250274,0.010175265
d0020,20,2020-03-19,56.3339,55.3741,57.31033,-5.8905783,0.008767602
d0021,21,2020-03-20,55.615395,54.45985,56.795456,-7.0908904,0.010712389
d0022,22,2020-03-23,55.687634,54.205242,57.210556,-6.970209,0.013765479
d0023,23,2020-03-24,55.56032,53.903225,57.268353,-7.18289,0.015448444
d0024,24,2020-03-25,55.148067,53.53774,56.806828,-7.871586,0.01511979
d0025,25,2020-03-26,56.738792,55.302254,58.21265,-5.2141786,0.013083946
d0026,26,2020-03-27,55.857487,54.591537,57.152794,-6.686455,0.0116962725
d0027,27,2020-03-30,55.099148,53.634655,56.603626,-7.95331,0.013744288
d0028,28,2020-03-31,54.478733,52.852043,56.155483,-8.989758,0.015466321
d0029,29,2020-04-01,54.860844,53.486073,56.27096,-8.351416,0.012948293
